ID,Name,Description,Price,Stock,Status,Image Filename,Seller Username
41,飞利浦电动牙刷HX3226成人充电式,高频震动，净护牙齿，2分钟定时，呵护口腔健康,199.99,542,active,41_20250424150133325213.jpeg,seller01@cxk.com
42,格力正1.5匹变频冷暖空调KFR-35GW,能效升级，节能省电，静音舒适，适用18-23㎡ 客厅优选。,2599.0,88,active,42_20250424150133348436.jpeg,seller01@cxk.com
43,九阳榨汁机家用多功能带滤网,一键操作，细腻出汁，易拆易洗，健康饮品随时享,189.0,720,active,43_20250424150133369514.jpeg,seller01@cxk.com
44,海尔洗衣机10KG直驱变频全自动,大容量洗涤，低噪音节能，智慧洗护更贴心 限时包邮！,3599.0,130,active,44_20250424150133391856.jpeg,seller01@cxk.com
45,惠普光影精灵8锐龙R7游戏本16.1英寸,高性能独显，144Hz电竞屏，散热强劲 适合游戏办公。,6299.0,57,active,45_20250424150133418385.jpeg,seller01@cxk.com
46,Apple iPhone 15 Pro 256GB远峰蓝,A17芯片，超视网膜XDR显示屏，高效影像系统 新品上市，保真正品！,8999.0,205,active,46_20250424150133440390.jpeg,seller01@cxk.com
47,OPPO Enco Air3 半入耳蓝牙耳机,音质纯净，充电快，佩戴舒适，智能触控,229.9,1465,active,47_20250424150133465060.jpeg,seller01@cxk.com
48,SKG颈椎按摩仪G7深层揉捏加热,仿真人按摩，多档力度可调，轻便便携 舒缓压力必备。,649.0,899,active,48_20250424150133490273.jpg,seller01@cxk.com
49,施华洛世奇天鹅项链女Swarovski,璀璨水晶，优雅天鹅造型，送礼自用皆宜,799.0,52,active,49_20250424150133514138.jpg,seller01@cxk.com
50,良品铺子夏威夷果坚果零食200g,新鲜美味，奶香浓郁，进口原料 手剥易开，休闲好搭档。,42.9,1800,active,50_20250424150133538202.jpg,seller01@cxk.com
51,飞科电动剃须刀FS876三刀头,浮动贴面，USB充电，干湿双剃 快速剃须不伤肤。,139.0,677,active,51_20250424150133567386.jpg,seller01@cxk.com
52,天猫精灵智能音箱X5 AI语音助手,智慧家居中控，语音互动，音质升级 多平台兼容。,249.0,274,active,52_20250424150133603103.jpg,seller01@cxk.com
53,欧莱雅男士水能保湿凝露120ml,长效水润，轻薄易吸收，清爽不油腻,69.9,3106,active,53_20250424150133633888.jpg,seller01@cxk.com
54,耐克运动裤男宽松透气休闲跑步长裤,经典剪裁，面料舒适，适用四季各种场合,359.0,2095,active,54_20250424150133662835.jpg,seller01@cxk.com
55,美津浓Wave Rider 27跑步鞋,专业缓震，轻盈透气，适合长距离跑步 限量发售！,728.0,598,active,55_20250424150133687207.jpg,seller01@cxk.com
56,德芙巧克力碗装送礼520g,丝滑浓情，口感香醇，多种口味可选,68.9,1567,active,56_20250424150133710543.jpg,seller01@cxk.com
57,护舒宝液体卫生巾日夜组合76片,液体科技，干爽防漏，舒适贴肤,118.0,562,active,57_20250424150133733283.jpg,seller01@cxk.com
58,苏泊尔珐琅锅20cm家用炖锅汤锅,耐高温不粘锅，营养锁鲜，颜值家居两用,198.0,1366,active,58_20250424150133756759.jpg,seller01@cxk.com
59,洽洽小黄袋每日坚果750g坚果礼盒,均衡配比，健康美味，礼盒包装佳节送礼,114.9,1034,active,59_20250424150133779055.jpg,seller01@cxk.com
60,WPS Office 2024激活码家庭版,正版授权，官网可查，多端激活 灵活办公工具。,98.0,2058,active,60_20250424150133800031.jpg,seller01@cxk.com
61,乐高积木城市系列消防局60215,益智动手，启发创意，安全材料亲子同乐,329.0,256,active,61_20250424150133822250.jpg,seller01@cxk.com
62,怡宝纯净水550ml*24瓶提装,新鲜水源，优质水质，日常补水优选,28.9,2488,active,62_20250424150133844013.jpg,seller01@cxk.com
63,雷蛇Viper V2 Pro轻量无线鼠标,专业电竞，极致轻盈，20000DPI精准定位,899.0,374,active,223.jpg,seller01@cxk.com
64,李子园甜牛奶饮品225ml*20瓶,醇香浓郁，口感细腻，既可早餐亦可加餐,66.8,1409,active,64_20250424150133872881.jpg,seller01@cxk.com
65,荣耀平板8 12英寸影音娱乐平板,高分辨率大屏，超长续航，护眼模式高清音质,1459.0,212,active,65_20250424150133901717.jpg,seller01@cxk.com
66,网易严选全棉毛巾三条装纯棉吸水,全棉亲肤，强吸水性，柔软耐用，一巾多用。,49.9,3200,active,66_20250424150133933475.jpg,seller01@cxk.com
67,Kingston金士顿NV2 1TB固态硬盘,高速读写，兼容性强，五年质保 性价比之选。,399.0,487,active,67_20250424150133964100.jpg,seller01@cxk.com
68,小度智能音箱Play 2无线语音助手,AI语音识别，趣味伴读，五星好评好音质,149.0,529,active,png,seller01@cxk.com
69,薇诺娜舒敏保湿护肤套装敏感肌专用,温和无刺激，舒缓修护，补水锁水 敏感安心护理。,239.0,985,active,69_20250424150133995192.jpg,seller01@cxk.com
